comment;calificacion
"Porque podemos ver el flujo del codigo que ejecutamos para revisar que se hizo mal";"De acuerdo"
"los programas al principios no tenian claridad a la hora de su interpretacion";"Algo de acuerdo"
"Porque nos permitia saber que errores teniamos, y muy eficiente al hacer que nuestro codigo fuera totalmente correcto";"Totalmente de acuerdo"
"La plataforma permite depurar codigo y observar en que punto nuestro algoritmo esta fallando, adicionalmente, los ejercicios propuestos por los profesores para ser solucionados en un tiempo estipulado ayuda mejorando la eficiencia con que solucionamos los problemas.";"Algo de acuerdo"
"Permitio contextualizar y llevar a cabo de manera efectiva los temas trabajados en clase.";"De acuerdo"
"Es una herramienta que permite identificar los errores, y permite obtener un modo facil de calificar. Ademas tiene una plataforma esteticamente adaptada para el usuario.";"Totalmente de acuerdo"
"es una buena plataforma, ayuda a entender el codigo";"De acuerdo"
"Porque la plataforma ofrece la oportunidad de utilizar las herramientas aprendidas en el curso y evalua el desempeno del programa que se escribio. Sin embargo, no permite hacer algunas cosas como utilizar algunos modulos, lo cual hubiera sido util para afianzar los conocimientos.";"De acuerdo"
"Esta plataforma es sencilla de usar, permitiendo asi su facil manejo y entendimiento de la misma. Ademas, el contar con la herramienta visualize your code es de mucha ayuda ya que permite saber como se esta comportando el codigo que se esta escribiendo, y corregir mas facilmente los errores.";"Totalmente de acuerdo"
"Es un buen mecanismo para practicar y comprender mejor de programacion, sin embargo no siento que su proposito sea garantizar el aprendizaje, porque no es una plataforma que explique errores o explique temas.";"De acuerdo"
"por que es una herramienta que permite hacer ejercicios sobre los temas vistos en clase y funciona bastante bien";"De acuerdo"
"Presenta herramientas que nos permiten verificar los errores, podemos ver el paso a paso de nuestro codigo y es sencilla de utilizar.";"De acuerdo"
"Porque por medio de la plataforma me fue posible resolver distintos problemas relacionadas con la tematica que me llevaban a un desarrollo de pensamiento propositivo y critico para una solucion adecuada";"Totalmente de acuerdo"
"Algunos de los casos  especiales  que evalua UNcode me llevo a ir mas alla de simplemente construir mi programa, pensar alguna solucion especifica para esos casos e interpretar de mejor forma los ejercicios.";"De acuerdo"
"Nos deja ver como se ejecuta un programa en totalidad aparte de que es bastante sencilla de usar.";"Totalmente de acuerdo"
"Al utilizar esta plataforma evaluativa el estudiante podia conocer los errores en los procesos que se estaban efectuando, asimismo como se estaba ejecutando cada programa. Por lo cual se podia hacer una autocorreccion y de la misma forma mejorar";"De acuerdo"
"Es muy util el hecho de que pruebe casos y que ayude a probar los programas con varios ejemplos que puedan mostrar fallos";"Totalmente de acuerdo"
"Porque se podia practicar extensamente los problemas colocados en la plataforma, ver asi en el Visualize your code el desarrollo del  codigo y entender los posibles errores.";"Totalmente de acuerdo"
"Aunque fue de gran ayuda, la plataforma debe mejorar algunos aspectos como los son al calificar , pues muchas veces no toma en cuenta el funcionamiento del programa solo por espacios.";"Algo de acuerdo"
"Porque cuenta con herramientas bastante utiles como un tutor de python y permite a los profesores limitar el tiempo de ejecucion de un programa para que el estudiante deba optimizarlo lo que mas pueda. Estas ultima herramienta hace que el estudiante tenga que pensar mejor el codigo, lo que conlleva un mayor aprendizaje.";"De acuerdo"
"Porque me permitio realizar los ejercicios en un ambiente muy comodo, ademas es facil de manejar, lo que permite mejorar nuestras habilidades.";"Totalmente de acuerdo"
"Porque me permitia desarrollar y observar el paso a paso de un programa";"De acuerdo"
"Lo fue ya que con las herramientas permitia ver el proceso del codigo";"Totalmente de acuerdo"
"Porque permitia una retroalimentacion inmediata y daba ciertas sugerencias que ayudaban a encontrar los bugs en el programa. Ademas que, en muchos programas, lo obligaba a uno a hacerlos de la manera mas optima posible, permitiendonos pensar en una solucion que tomara menos tiempo.";"Totalmente de acuerdo"
"Los ejercisios eran bastante precisos con respecto a cada tema, lo que permitia que desarrolle la logica y aplicacion de las herramientas del lenguaje de programacion";"De acuerdo"
"Porque brindo una amplia gamma de ejercicios que permitieron practicar el lenguaje.";"Totalmente de acuerdo"
"fue una herramienta util para hacer la entrega de las actividades";"Totalmente de acuerdo"
"Tenia la opcion de visualizar la ejecucion de mi codigo paso a paso, lo cual me ayudaba encontrar las debilidades de este.";"De acuerdo"
"Por que permite un sencillo sistema de  entrenamiento  donde se nos evalua nuestros programas, de manera que a la vez nos permite encontrar errores y aplicar temas aprendidos.";"Totalmente de acuerdo"
"Desde mi perspectiva, permite desarrollar habilidades que mejoran la comunicacion que tenemos con las maquinas";"De acuerdo"
"Debido a que los talleres eran mas sencillos de desarrollar al presentar herramientas para probar los codigos y visualizarlos paso a paso, por otro lado los casos para aprobar los codigos eran muy completos, y los detalles de la pagina con respecto a la informacion requerida para el taller era la adecuada. El unico incoveniente es que la pagina se cae constantemente.";"De acuerdo"
"Una plataforma con buenos ejercicios, y herramientas utiles.";"De acuerdo"
"Es una muy buena herramienta, teniendo en cuenta que al encontrar un error lo muestra al usuario, tambien cuenta con la opcion de poder ver paso a paso como se esta ejecutando e codigo";"De acuerdo"
"Por lo que he estado en UNcode (solamente para las clases) he aprendido bastante, sin embargo no conozco si en algun taller se enfoquen mas o profundicen en algun lenguaje de programacion.";"De acuerdo"
"Es una herramienta que ensena a llegar a respuestas puntuales, buen funcionamiento para entender la ejecucion del codigo y permite un comodo tiempo para la resolucion de los ejercicios.";"Totalmente de acuerdo"
"Es una herramienta simple y util para programar, me ayudo en lo personal al permitir ver los casos que no estaban bien y en base a estos replantear mi codigo.";"Totalmente de acuerdo"
"porque UNcode al tener tantas herramientas a disposicion, como Python Tutor, me permitieron ver como funcionan mis programas y a su ves detectar los errores que estaba cometiendo para corregirlos.";"De acuerdo"
"Es una plataforma muy interactiva y facil de comprender";"De acuerdo"
"Fue util y practica a la hora de probar mi codigo";"De acuerdo"
"La funcion de ver el codigo paso a paso fue muy util para obtener una comprension mas profunda de los temas.";"De acuerdo"
"El Python Tutor implantado en la plataforma fue util para identificar como funcionaban los programas";"De acuerdo"
"Sobretodo porque permitia ver le paso a paso del codigo para encontrar errores";"De acuerdo"
"Si, fue muy util gracias a que es una plataforma muy comoda tanto como para estudiante y profesor, es facil para evitarnos muchas complicaciones enviando codigos, lo cual nos ahorra tiempo y hace que estemos mas tiempo por decirlo asi, realizando codigo.";"Totalmente de acuerdo"
"porque en si un code no ayuda a aprender, es una herramienta de evaluacion de codigo mas no una guia de programacion";"Algo de acuerdo"
"Porque para aprender esta la clase. Realmente UNcod ayuda, en cambio, a reforzar";"Algo de acuerdo"
"UNCode permite una rapida retroalimentacion de los ejercicios al mismo tiempo que brinda una herramienta similiar a python tutor que permite visualizar el codigo paso a paso, con esto el proceso de encontrar errores es mucho mas simple.";"Totalmente de acuerdo"
"Es una herramienta muy util para mirar los errores que tenemos en los codigos. Ademas es de mucha utilidad las funciones que tiene para poder optimizar y garantizar el funcionamiento de los programas";"De acuerdo"
"Me parecio bueno que resolvi ejercicios dando uso a herramientas de python y aprendi sobre logica y pensamiento de un ingeniero.";"De acuerdo"
"Porque a pesar de tener problemas, ayuda a plantearse casos extranos y te hace pensar como solucionarlos";"De acuerdo"
"Tenia las herramientas adecuadas, permitia probar diferentes aplicaciones y sobre todo tenia herramientas adicionales que permitian previsualizar el codigo paso por paso y revisar asi cuales eran los errores que se tenian";"De acuerdo"
"Por que nos brindaba una herramienta para programar completamente gratuita, evitando que tuvieramos que descargar programas para programar, ademas de los ejercicios, la simulacion y visualizar el codigo para poder observar nuestros errores";"Totalmente de acuerdo"
"Es una herramienta que permite la practica efectiva de los conceptos aprendidos en la clase. tambien funciona muy bien a la hora de comprender como funciona el codigo";"Totalmente de acuerdo"
"Porque dio un acceso rapido a las herramientas necesarias para programar y a la vez ofrecio distintos talleres que sirvieron de practica y aprendizaje";"De acuerdo"
"Una herramienta muy buena para saber nuestros errores";"Totalmente de acuerdo"
"Permitia crear varios casos y ayudaba a encontrar muchos errores en los codigos";"De acuerdo"
"Es una plataforma formidable a las hora de practicar la programacion";"De acuerdo"
"La programacion se aprende practicando definitivamente, me gusto mucho, es muy didactica la plataforma";"Totalmente de acuerdo"
"La plataforma de uncode me parecio muy buena ya que te informa claramente de los errores que cometes y donde lo cometiste, cosa que es muy util para saber donde corregir el codigo y que es lo que no funciona. Tambien su metodo de calificacion me parecio muy bueno. Que se pueda visualizar que es lo que el programa espera que de el codigo y lo compare con la salida que tu le das me parecio algo muy importante, ya que en ocasiones las entradas y salidas que se dan de referencia no cubren la totalidad de opciones que puede tener el problema. Muy claro, muy organizado. Me agrado de una manera sorprendente.";"Totalmente de acuerdo"
"Es positivo el hecho de tener una calificacion tan rigurosa de los ejercicios";"Totalmente de acuerdo"
"Es una plataforma muy facil de usar, con muchas herramientas que hacen facil el aprendizaje.";"De acuerdo"
"Excelente plataforma";"Totalmente de acuerdo"
"porque permite realizar diferentes evaluaciones al codigo y de esta manera verificar su eficiencia";"Totalmente de acuerdo"
"Menu de navegacion simple y facil de entender, sin embargo, a la hora de registrarse para el curso puede llegar a ser un poco enredado por el hecho de no saber si hay una cuenta creada o si hay que crear una y de como se tiene que hacer el registro";"De acuerdo"
"Porque hay otros programas que tienen mas funciones para programar";"Algo en desacuerdo"
"Opino que es bastante util ya que te hace en el momento una retroalimentacion de si esta funcionando o no el codigo y puedes corroborar con las pruebas que hace en que casos especificos se esta fallando";"Totalmente de acuerdo"
"El visualizador de codigo me permitio ver como se estaba ejecutando mi codigo, ademas al tener que poner una entrada muy precisa significaba que mi codigo no podia tener errores lo que me llevo a realizar varias pruebas.";"De acuerdo"
"La herramienta es muy util al momento de revisar el codigo cuando queremos que este perfecto , ademas, te muestra en que hay fallas.";"De acuerdo"
"Pone a prueba los conocimientos recolectados en clase.";"Totalmente de acuerdo"
"Se podia ver el paso a paso de la ejecucion del codigo, muy util para el aprendizaje";"Totalmente de acuerdo"
"seria mejor si se mostraran los test a evaluar";"Algo en desacuerdo"
"Utilizamos principalmente Google colaboratory";"Algo de acuerdo"
"Debido a su corto campo de aceptacion de programas, evitando crear multiples opciones para solucionar un ejercicio.";"Algo en desacuerdo"
"por que nos ayudo a entender mejor las herramientas y a realizar las actividades";"Totalmente de acuerdo"
"Plantea ejercicios interesantes y permite visualizar los codigos, ademas de que le permite al estudiante el manejo de sus tiempos";"Totalmente de acuerdo"
"La herramienta muchas veces da errores aun cuando la salida requerida es exactamente a como la pide. Los errores no son muy visibles, por lo que hace que uno se confunda, si la plataforma diera las entradas que evalua seria mas facil para el estudiante encaminar la programacion y entender el codigo";"Totalmente en desacuerdo"
"Porque es una herramienta complicada, tienes muchos  peros";"Algo de acuerdo"
"La plataforma es muy precisa con los espacios, algo que no pasa en colab o en python de escritorio";"Algo en desacuerdo"
"A veces UNCode no dejaba correr por cosas triviales como un espacio, aunque ingresar entradas aqui era mas facil que ingrsarlas en Colaboratory";"Algo de acuerdo"
"porque muchas veces el codigo que pedia, lo hacia y este cumplia el objetivo pero el uncode siempre me aparecia como error";"En desacuerdo"
"El hecho de tener test de verificacion permitia saber si uno iba por buen camino o no.";"De acuerdo"
"Por los talleres y el desarrollo, porque la mayoria de las herramientas que usamos son de otras paginas o aplicaciones.";"Algo de acuerdo"
"La plataforma no es versatil con los resultados, es preferible usar Colab";"En desacuerdo"
"A veces es complicado entender donde se encuentran y que son exactamente los errores en el codigo";"Algo de acuerdo"
"Aunque la plataforma brinda la posibilidad de verificar el codigo antes de probarlo y tambien en ocasiones muestra las lineas de codigo que contienen erro, seria bueno que la plataforma mostrara el procedimiento que realiza el codigo ademas de que seria bueno que seria bueno que se ensenara cuales son los items que se deben ingresar a una cierta funcion.";"Algo de acuerdo"
"permite una valoracion inmediata del trabajo hecho";"De acuerdo"
"Es un buen programa, lo unico es que es algo complicado de usarlo, puesto que las salidas de los codigos, deben seguir una estructura y orden especificos.";"Algo de acuerdo"
"La evaluacion de cada uno de los programas resultaba un poco estresante, ya que muchas veces el error no era del codigo en si, sino de la manera de calificar en el interior de la plataforma.";"Algo en desacuerdo"
"Los ejercicios al ser de elevada dificultad exigen una buena preparacion para la resolucion de los codigos";"Algo de acuerdo"
"La plataforma funciona bastante bien corriendo los codigos y tiene la herramienta para guiarse en lo que puede estar mal del codigo.";"Algo de acuerdo"
"Es una buena herramienta para calificar los trabajos propuestos por los docentes, me parece organizada y funcional";"Algo de acuerdo"
"Es poco indicativo respecto a los errores en los codigos del usuario";"Algo en desacuerdo"
"Permite visualizar la forma en la que se ejecuta el codigo propuesto, deja ver las entradas y salidas que se proporcionan de una manera sencilla, ademas muestra los errores que el codigo presenta y evalua conforme a eso, tiene un pequeno contra que es lo reducido de las salidas, aunque el codigo haga lo que se pide en el problema propuesto por cualquier caracter adicional hace que todo el test que no coincida este del todo mal.";"De acuerdo"
"Si, porque cuando el codigo esta casi completo UNcode me muestra el error para poder corregirlo";"De acuerdo"
"UNCodde tiene la salida muy estricta";"Algo de acuerdo"
"permitio la evaluacion de talleres, ademas de ser un compilador paso a paso";"De acuerdo"
"Fue util para realizar los talleres designados por el profesor, escribir el codigo en la pagina directamente lo hace mas facil, aparte de marcar errores y probar el codigo paso a paso, que son necesarias cuando no se entiende del todo alguna parte desarrollada";"De acuerdo"
"ES bastante acertada y no tiene muchos errores";"Totalmente de acuerdo"
"La herramienta es muy util al revisar el codigo por partes";"De acuerdo"
"Debido a que es una herramienta que proporciona lo necesario para desarrollar los conocimientos de programacion.";"Totalmente de acuerdo"
"Ya que se nos entregan resultados inmediatos, recalcando en los errores, ademas de una herramienta que nos permite ver el proceso del codigo paso por paso";"Algo de acuerdo"
"Porque ayuda a repasar los temas vistos en clase, y si algo queda mal, te dice cuales son los errores.";"De acuerdo"
"Porque en la plataforma podia ver mis errores y asi podia corregirlos y mejorar en ellos.";"Totalmente de acuerdo"
"";"De acuerdo"
"Fue una manera util de probar y realizar trabajas de programacion";"De acuerdo"
"Pues al momento de revisar las salidas no es para nada flexible";"Algo de acuerdo"
"porque fue la herramienta que mas se uso y en la cual al usarla podiamos saber si se cometio algun error en el programa y corregirlo posteriormente";"De acuerdo"
"Me ayudo demasiado a ver los problemas de una manera sencilla";"Totalmente de acuerdo"
"por ahi se desarrollaron diversos talleres, que ayudaban al entendimiento de las clases";"De acuerdo"
"Porque al realizar los ejercicios y verificarlos nos arroja si las respuestas son correctas o incorrectas, lo cual en el caso de ser incorrectas muestra que es en lo que se esta fallando y permite aprender en lo que se esta fallando.";"De acuerdo"
"Siento que fue una plataforma necesaria para resolver problemas de programacion, los cuales me ayudaron a entender mejor los conceptos explicados en clase";"De acuerdo"
"Es una herramienta util, muy amigable con el usuario";"Totalmente de acuerdo"
"Porque por un lado se encuentran ejercicios que ponen a prueba el pensamiento de los estudiantes para realizar lo exigido al pie de la letra, y por otro lado en dado caso de no tener otras plataformas, esta sirve para intentar realizar codigo, ademas que tambien dice los errores obtenidos en el codigo";"De acuerdo"
"Porque hay muchas posibilidades de verificar los errores con los casos de prueba";"Totalmente de acuerdo"
"al solo recibir una salida especifica y detallada esto dificulta en una manera muy exponencial la capacidad de los estudiantes de resolucion de problemas, dejando solo una unica respuesta, puesto que la programacion es algo tan intimo y cambiante4 de persona a persona esta deberia revisarse de un metodo distinto donde lo que importara fuera el resultado y no en su mayoria el orden de este mismo o la manera de darlo";"En desacuerdo"
"Porque es un espacio en el cual se puede diferencia las partes que llevara el codigo y la explicacion del problema.";"De acuerdo"
"Porque nos permitia conocer nuestros errores y verificar el codigo, pero muchas veces las herramientas como Python Tutor o Test Code no funcionaban correctamente, por lo que tocaba usar otro entorno para ejecutar y probar el codigo.";"Algo de acuerdo"
"Es una herramienta bastante util para reforzar los conocimientos y poner a prueba el estudiate ante ejercicios bastante especificos y con muchos casos de pruebas";"De acuerdo"
"Al poder probar y visualizar codigos me permitio comprender el funcionamiento y aplicar logica";"Totalmente de acuerdo"
"El funcionamiento de la plataforma no es el mejor, entiendo que por la sobrecarga de estudiantes a veces la pagina falle pero no esperaba que fuera tan continuo";"Algo de acuerdo"
"Una herramienta rapida y sencilla que me permitia realizar los talleres y visualizar a su vez en que me equivocaba";"Totalmente de acuerdo"
"Es mucho mas comodo que usar un IDE ya que mi computador no es muy potente y se traba facilmente, cosa que pasa menos seguido en UNCODE";"Totalmente de acuerdo"
"Porque nos permitia saber cuando un codigo funcionaba en su totalidad con diferentes casos";"De acuerdo"
"Solo es una herramienta para calificar.";"Totalmente en desacuerdo"
"solo lo use para enviar los talleres ya que los desarrollaba en otro IDE";"En desacuerdo"
"Si bien la aplicacion cumple con su proposito, presenta varias fallas (Como las varias caidas de la pagina, o la lentitud en ciertas ocasiones) no permiten que el usuario tenga una experiencia amistosa con UNCode";"Algo de acuerdo"
"es una plataforma muy intuitiva y con buenas herramientas para la solucion de problemas y ejecucion de los codigos";"Totalmente de acuerdo"
"Porque ayudan a aplicar lo aprendido en un codigo con varios casos de pruebas, y el visualizador ayuda a escoger los errores puntales";"De acuerdo"
"Es una buena idea pero no cumple completamente con su funcion ya que solo permite verificar si un programa cumple con algunos casos de prueba y no si este tiene logica o no.";"Algo en desacuerdo"
"Porque en ocasiones marcaba 100% funcional algunos programas y cuando los usaba para otra actividad estos no se desempenaban de la manera correcta";"Algo de acuerdo"
"Permite practicar e interiorizar los conocimientos que se aprende en clase y los documentos Notebook.";"Totalmente de acuerdo"
"la plataforma esta bien aunque falla a menudo";"De acuerdo"
"Muy versatil para programar en este, ademas, la metodologia de casos de prueba le da un plus extra que ayuda a la compresion de ejercicios";"Totalmente de acuerdo"
"es una herramienta muy buena para comprobara que un programa hace lo que se le pide";"De acuerdo"
"Visualizador de codigo";"Totalmente de acuerdo"
"Facilitaba la presentacion de los talleres";"De acuerdo"
"Por que facilita la generalizacion de los programas a todos los casos posibles";"De acuerdo"
"Daba la herramienta de ver el paso a paso del codigo y detectar mas facil los errores que uno tenia, sin embargo es pequena la ventana emergente deberia de poder manipularse o ser mas grande";"De acuerdo"
"Ya que es una herramienta que nos permite comprobar el funcionamiento y ejecucion de nuestro codigo.";"De acuerdo"
"Hubiese sido mejor si tuviese algunas herramientas de los IDE";"Algo de acuerdo"
"Permanece caido";"Algo en desacuerdo"
"si porque gracias a el pude constatar que mis ejercicios estuvieran bien hechos";"De acuerdo"
"Es una herramienta que permite revisar la sintaxis de los programas, y de pronto algun error que se cometa en el codigo.";"Algo de acuerdo"
"Contiene buenas herramientas bien implementadas como lo es el probar codigo y visualizarlo";"De acuerdo"
"Permitia hacer el codigo, probarlo y observar el procedimiento paso a paso";"Totalmente de acuerdo"
"UNCode fue durante el semestre una herramienta de gran apoyo donde si visualizacion y modo de mostrar cada caso de prueba ayudaba a ver cuales eran los errores y por lo tanto que se debia corregir. A su vez, uncode permite saber si los programas estaban bien o si se demoraban mucho o excedian la memoria y gracias a esto se puede ir mejorando";"Totalmente de acuerdo"
"Si en el sentido que tiene la herramienta de visualizador de codigo y tambien permite ver algunos casos de prueba para con las entradas y las salidas para encontrar errores";"Algo de acuerdo"
"Por ser la plataforma de presentacion de ejercicios";"De acuerdo"
"Tiende a fallar mucho en tiempos de ejecucion y es una herramienta poco flexible.";"Algo de acuerdo"
"Permite practicar lo que se va aprendiendo durante el curso";"De acuerdo"
"Permite la aplicacion de conceptos trabajados mediante talleres";"De acuerdo"
"Porque que tiene UNcode pasibilidad de visualizar los pasos que realiza cada algoritmo, y esto permite entender de forma mas clara cual es el procedimiento que se esta siguiendo";"De acuerdo"
"Porque debido a lo estricto que es con las salidas, el estudiante no solo se concentra el resolver un problema para un caso de prueba especifico, sino que se concentra en resolver el problema para todos los casos de prueba posibles";"De acuerdo"
"La posibilidad de poder poner a prueba cada ejercicio realizado hizo que UNcode fuera una herramienta bastante util, ya que me permitio ir perfeccionando mi forma de programar con cada error aprendido.";"De acuerdo"
"El '!visualizar codigo!' es una excelente herramienta para evidenciar como ejecuta el codigo programado.";"De acuerdo"
"El sistema para verificar codigo ayuda";"De acuerdo"
"Uncode fue una buena herramienta para programar, pero presenta algunos factores que deberian mejorarse como el hecho de que la pagina suele caerse en varias ocasiones, para hacerse mas optima.";"Algo de acuerdo"
"Aunque posee herramientas de apoyo es dificil asegurar que ayude en el proceso de aprendizaje dada la presencia de problemas en la pagina  y de los apoyos que posee esta. Problemas como caida de la pagina y la no funcionalidad de algunos servicios con el probador de ejercicios y el Python tutor .";"Algo en desacuerdo"
"es una plataforma bien interesante donde de verdad uno puedo saber si esta haciendo las cosas bien gracias a los variados casos de prueba, lo que hace que uno tenga que hacer un buen programa para que todo salga bien.";"De acuerdo"
"Fue el programa utilizado para evaluar el avance y conocimiento dentro de la materia";"De acuerdo"
"Ya que esta al realizar una evaluacion a fondo de un codigo como tal permite a los estudiantes un correcto desempeno de lo que programar conlleva.";"De acuerdo"
"No solo podia cumplir con diferentes objetivos en un entorno cercano al manejado, sino que podia verificar por pasos lo que realizaba y como se procesaba de fondo.";"Totalmente de acuerdo"
"Brinda un entorno amigable e intuitivo para aprender a programar, con herramientas que nos permiten revisar nuestros errores.";"Totalmente de acuerdo"
"Es una herramienta sencilla, util y facil de entender";"De acuerdo"
"A traves de los ejercicios propuestos en la herramienta UNCode se pone a prueba lo aprendido en las clases de programacion, ayudando a validar los temas vistos con la practica que conlleva realizar ejercicios";"Totalmente de acuerdo"
"Nos mandan ejercicios con lo que podemos practicar y reforzar los que hicimos en clase";"Totalmente de acuerdo"
"Es una herramienta que nos permite identificar facilmente nuestros errores a medida que vamos aprendiendo y tambien nos permite identificar de forma clara el algoritmo de nuestros programas.";"Totalmente de acuerdo"
"Util para el manejo de conceptos basicos, aunque completamente dificil de usar cuando ciertas herramientas no funcionan(python tutor), tambien ser requerido descargar y probar de manera autonoma errores, usando metodos para diferenciar nuestro output del requerido y pues alto requerimiento de ayuda humana.";"Algo en desacuerdo"
